CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
619;France;Female;42;2;0.0;1;1;1;101348.88;1
608;Spain;Female;41;1;83807.86;1;0;1;112542.58;0
502;France;Female;42;8;159660.8;3;1;0;113931.57;1
699;France;Female;39;1;0.0;2;0;0;93826.63;0
850;Spain;Female;43;2;125510.82;1;1;1;79084.1;0
645;Spain;Male;44;8;113755.78;2;1;0;149756.71;1
822;France;Male;50;7;0.0;2;1;1;10062.8;0
376;Germany;Female;29;4;115046.74;4;1;0;119346.88;1
501;France;Male;44;4;142051.07;2;0;1;74940.5;0
684;France;Male;27;2;134603.88;1;1;1;71725.73;0
528;France;Male;31;6;102016.72;2;0;0;80181.12;0
497;Spain;Male;24;3;0.0;2;1;0;76390.01;0
476;France;Female;34;10;0.0;2;1;0;26260.98;0
549;France;Female;25;5;0.0;2;0;0;190857.79;0
635;Spain;Female;35;7;0.0;2;1;1;65951.65;0
635;Spain;Female;35;7;0.0;2;1;1;65951.65;1
